year,fips,state,_name,black_pop_15to64,black_jail_pop,black_prop
2018,56001,wyoming,albany,586,4,0.006825939
2018,56003,wyoming,big horn,67,0,0
2018,56005,wyoming,campbell,215,75,0.348837209
2018,56007,wyoming,carbon,158,1,0.006329114
2018,56009,wyoming,converse,62,2,0.032258065
2018,56011,wyoming,crook,39,0,0
2018,56013,wyoming,fremont,177,4,0.02259887
2018,56015,wyoming,goshen,106,2,0.018867925
2018,56017,wyoming,hot springs,32,0,0
2018,56019,wyoming,johnson,50,0,0
2018,56021,wyoming,laramie,2084,16,0.007677543
2018,56023,wyoming,lincoln,92,0,0
2018,56025,wyoming,natrona,779,19,0.024390244
2018,56027,wyoming,niobrara,28,0.6,0.021428571
2018,56029,wyoming,park,177,1,0.005649718
2018,56031,wyoming,platte,40,4,0.1
2018,56033,wyoming,sheridan,230,1,0.004347826
2018,56035,wyoming,sublette,62,0,0
2018,56037,wyoming,sweetwater,410,4,0.009756098
2018,56039,wyoming,teton,144,2,0.013888889
2018,56041,wyoming,uinta,115,4,0.034782609
2018,56043,wyoming,washakie,42,0,0
2018,56045,wyoming,weston,56,0.33,0.005892857
